HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,DatePosted,BuildingAge,City,Region,HouseAddress,Lat_Long
https://www.zolo.ca/ajax-real-estate/57-welsh-street,"57 Welsh Street, Ajax Central, West",1299000,Detached,4,1,4,,2-Storey,2024-02-01,0,ajax,durham region,"57 welsh street, ajax","(43.866893990834654, -79.06431696334124)"
https://www.zolo.ca/ajax-real-estate/95-hills-road,"95 Hills Road, Ajax South, East",1099999,Detached,3,1,3,,Bungalow,2024-02-01,0,ajax,durham region,"95 hills road, ajax","(43.83670597981509, -79.00953602930974)"
https://www.zolo.ca/ajax-real-estate/146-kingston-road-west,"146 Kingston Road WAjax, Central",679999,Condo Townhouse,2,,2,900-999,Stacked Townhse,2024-01-31,0,ajax,durham region,"146 kingston road west, ajax","(43.85967998013817, -79.03444008856754)"
https://www.zolo.ca/ajax-real-estate/19-farrow-crescent,"19 Farrow Crescent, Ajax South, West",1224898,Detached,4,,4,,2-Storey,2024-01-31,0,ajax,durham region,"19 farrow crescent, ajax","(43.821706019258926, -79.02564504138456)"
https://www.zolo.ca/ajax-real-estate/7-ginno-lane,"7 Ginno Lane, Ajax South, East",699900,Att/Row/Twnhouse,3,,3,,3-Storey,2024-01-31,0,ajax,durham region,"7 ginno lane, ajax","(43.84758841425534, -79.00734458072453)"
https://www.zolo.ca/ajax-real-estate/69-dakin-drive,"69 Dakin Drive, Ajax Central, West",1000000,Detached,3,1,3,,2-Storey,2024-01-30,0,ajax,durham region,"69 dakin drive, ajax","(43.87329600466103, -79.04734796800061)"
https://www.zolo.ca/ajax-real-estate/27-brocklesby-crescent,"27 Brocklesby Crescent, Ajax Central, West",799900,Detached,3,,3,,2-Storey,2024-01-30,0,ajax,durham region,"27 brocklesby crescent, ajax","(43.86484000546153, -79.04106598302772)"
https://www.zolo.ca/ajax-real-estate/58-rushworth-drive-west,"58Rushworth Drive WAjax Northeast, Ajax",,Detached,4,1,4,,2-Storey,2024-01-30,15,ajax,durham region,"58 rushworth drive west, ajax","(43.888322996854924, -79.01217398187713)"
https://www.zolo.ca/ajax-real-estate/109-burcher-road,"109 Burcher Road, Ajax South, East",979000,Semi-Detached,4,1,4,2500-3000,3-Storey,2024-01-30,0,ajax,durham region,"109 burcher road, ajax","(43.840700794868496, -79.01203660248407)"
https://www.zolo.ca/ajax-real-estate/2-westney-road-north/1009,"1009 - 2 Westney Road NAjax Central, West",599800,Condo Apt,3,0,2,1000-1199,Apartment,2024-01-29,0,ajax,durham region,"2 westney road north/1009, ajax","(43.858178990827014, -79.04293799728292)"
https://www.zolo.ca/ajax-real-estate/2-gidley-lane,"2 Gidley Lane, Ajax, Central",865000,Condo Townhouse,2,,2,1600-1799,Bungalow,2024-01-29,0,ajax,durham region,"2 gidley lane, ajax","(43.86671340273074, -79.02935001022618)"
https://www.zolo.ca/ajax-real-estate/515-ruthel-road,"515 Ruthel Road, Ajax South, East",1169000,Vacant Land,0,,0,1500-2000,,2024-01-28,0,ajax,durham region,"515 ruthel road, ajax","(43.83030798930224, -78.99722100188826)"
https://www.zolo.ca/ajax-real-estate/191-lake-driveway--west/212,"212 - 191 Lake Driveway WAjax South, West",564000,Condo Apt,2,,2,900-999,Apartment,2024-01-26,0,ajax,durham region,"191 lake driveway  west/212, ajax","(43.823844997130266, -79.03582796409532)"
https://www.zolo.ca/ajax-real-estate/348-delaney-drive,"348 Delaney Drive, Ajax Central, West",,Att/Row/Twnhouse,3,,3,1100-1500,2-Storey,2024-01-26,30,ajax,durham region,"348 delaney drive, ajax","(43.864824708488214, -79.05888196968421)"
https://www.zolo.ca/ajax-real-estate/15-coppini-lane,"15 Coppini Lane, Ajax South, East",829000,Att/Row/Twnhouse,3,,2,1100-1500,3-Storey,2024-01-26,0,ajax,durham region,"15 coppini lane, ajax","(43.84727270987224, -79.00726989796723)"
https://www.zolo.ca/ajax-real-estate/39-hesketh-road,"39 Hesketh Road, Ajax Central, East",779500,Att/Row/Twnhouse,3,,2,,3-Storey,2024-01-26,15,ajax,durham region,"39 hesketh road, ajax","(43.88409730227855, -79.00379853276712)"
https://www.zolo.ca/ajax-real-estate/16-carrick-avenue,"16 Carrick Avenue, Ajax Central, West",979999,Detached,4,,4,,2-Storey,2024-01-26,0,ajax,durham region,"16 carrick avenue, ajax","(43.872693010546584, -79.0448540165298)"
https://www.zolo.ca/ajax-real-estate/98-harty-crescent,"98 Harty Crescent, Ajax Northwest, Ajax",1050000,Detached,3,,3,,2-Storey,2024-01-25,0,ajax,durham region,"98 harty crescent, ajax","(43.87980099016792, -79.05589097135508)"
https://www.zolo.ca/ajax-real-estate/195-lake-driveway--west/402,"402 - 195 Lake Driveway WAjax South, West",499900,Condo Apt,1,,1,700-799,Apartment,2024-01-25,0,ajax,durham region,"195 lake driveway  west/402, ajax","(43.82446500650815, -79.03461803637194)"
https://www.zolo.ca/ajax-real-estate/71-hewitt-crescent,"71Hewitt Crescent, Ajax South, East",,Detached,4,1,4,,2-Storey,2024-01-25,50,ajax,durham region,"71 hewitt crescent, ajax","(43.833318014551566, -79.00234100362395)"
https://www.zolo.ca/ajax-real-estate/114-workmens-circle,"114 Workmen's Circle, Ajax Northwest, Ajax",899980,Att/Row/Twnhouse,3,,3,1500-2000,2-Storey,2024-01-25,5,ajax,durham region,"114 workmens circle, ajax","(43.87589690921638, -79.06244888858052)"
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/4,"4 - 520 Rossland Road WAjax Central, West",2550000,Detached,5,2,5,3500-5000,2-Storey,2024-01-24,0,ajax,durham region,"520 rossland road west/4, ajax","(43.872340006694344, -79.05946903818263)"
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/6,"6 - 520 Rossland Road WAjax Central, West",2550000,Detached,3,1,5,3000-3500,Bungalow-Raised,2024-01-24,0,ajax,durham region,"520 rossland road west/6, ajax","(43.872340006694344, -79.05946903818263)"
https://www.zolo.ca/ajax-real-estate/86-church-street-south,"86 Church Street SAjax Central, West",1399900,Fourplex,6,4,5,2500-3000,2-Storey,2024-01-24,0,ajax,durham region,"86 church street south, ajax","(43.8509413850731, -79.05433637977313)"
https://www.zolo.ca/ajax-real-estate/57-willows-lane,"57 Willows Lane, Ajax Central, West",759000,Condo Townhouse,3,,2,1200-1399,2-Storey,2024-01-24,0,ajax,durham region,"57 willows lane, ajax","(43.851280600694594, -79.05743223571099)"
https://www.zolo.ca/ajax-real-estate/12-hobson-avenue,"12 Hobson Avenue, Ajax Central, West",699000,Detached,3,,2,,2-Storey,2024-01-24,0,ajax,durham region,"12 hobson avenue, ajax","(43.869228979511746, -79.04292701698976)"
https://www.zolo.ca/ajax-real-estate/32-lovegrove-lane,"32 Lovegrove Lane, Ajax, Central",629000,Condo Townhouse,2,,2,1000-1199,Stacked Townhse,2024-01-23,0,ajax,durham region,"32 lovegrove lane, ajax","(43.861333981091775, -79.01641371614133)"
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/3,"3 - 520 Rossland Road WAjax Central, West",2350000,Detached,2,1,4,3000-3500,Bungalow-Raised,2024-01-23,0,ajax,durham region,"520 rossland road west/3, ajax","(43.872340006694344, -79.05946903818263)"
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/2,"2 - 520 Rossland Road WAjax Central, West",2400000,Detached,2,1,4,3000-3500,Bungalow-Raised,2024-01-23,0,ajax,durham region,"520 rossland road west/2, ajax","(43.872340006694344, -79.05946903818263)"
https://www.zolo.ca/ajax-real-estate/82-wright-crescent,"82 Wright Crescent, Ajax, Central",699000,Att/Row/Twnhouse,3,,2,,2-Storey,2024-01-23,0,ajax,durham region,"82 wright crescent, ajax","(43.85121400647387, -79.03417597479847)"
https://www.zolo.ca/ajax-real-estate/142-hurst-drive,"142 Hurst Drive, Ajax Northwest, Ajax",1099000,Detached,4,,3,2000-2500,2-Storey,2024-01-22,5,ajax,durham region,"142 hurst drive, ajax","(43.87224751239282, -79.06797281423023)"
https://www.zolo.ca/ajax-real-estate/86-bryant-road,"86 Bryant Road, Ajax South, East",940000,Detached,4,,2,1500-2000,Sidesplit 4,2024-01-22,50,ajax,durham region,"86 bryant road, ajax","(43.83183299276598, -79.00717099150977)"
https://www.zolo.ca/ajax-real-estate/55-beadle-drive,"55 Beadle Drive, Ajax South, East",849990,Att/Row/Twnhouse,3,1,3,2000-2500,2-Storey,2024-01-22,0,ajax,durham region,"55 beadle drive, ajax","(43.841803015136065, -79.00546896225096)"
https://www.zolo.ca/ajax-real-estate/29-hopkinson-crescent,"29 Hopkinson Crescent, Ajax Northwest, Ajax",999000,Detached,4,1,3,2500-3000,2-Storey,2024-01-22,0,ajax,durham region,"29 hopkinson crescent, ajax","(43.87856600055403, -79.04128097884417)"
https://www.zolo.ca/ajax-real-estate/29-dunwell-crescent,"29 Dunwell Crescent, Ajax Northeast, Ajax",1399000,Detached,4,1,5,,2 1/2 Storey,2024-01-19,0,ajax,durham region,"29 dunwell crescent, ajax","(43.89601100417599, -79.03090502090329)"
https://www.zolo.ca/ajax-real-estate/59-clover-ridge-drive-west/99,"99 - 59 Clover Ridge Drive WAjax South, West",799000,Condo Townhouse,3,1,3,1200-1399,2-Storey,2024-01-19,50,ajax,durham region,"59 clover ridge drive west/99, ajax","(43.823692991316165, -79.01422201609901)"
https://www.zolo.ca/ajax-real-estate/2-westney-road-north/1204,"1204 - 2 Westney Road NAjax Central, West",699000,Condo Apt,3,,2,1000-1199,Apartment,2024-01-18,0,ajax,durham region,"2 westney road north/1204, ajax","(43.858178990827014, -79.04293799728292)"
https://www.zolo.ca/ajax-real-estate/13-reese-avenue,"13 Reese Avenue, Ajax Central, West",1089000,Detached,4,,3,,2-Storey,2024-01-18,0,ajax,durham region,"13 reese avenue, ajax","(43.87051199743081, -79.0524729988782)"
https://www.zolo.ca/ajax-real-estate/31-parker-crescent/17,"17 - 31 Parker Crescent, Ajax South, East",699000,Condo Townhouse,3,,2,1000-1199,2-Storey,2024-01-18,0,ajax,durham region,"31 parker crescent/17, ajax","(43.83080998148341, -79.01327502867825)"
https://www.zolo.ca/ajax-real-estate/23-heatherwood-road,"23 Heatherwood Road, Ajax South, East",988000,Detached,3,1,3,,2-Storey,2024-01-18,0,ajax,durham region,"23 heatherwood road, ajax","(43.85121698204949, -79.01793201408253)"
https://www.zolo.ca/ajax-real-estate/3-graywardine-lane,"3 Graywardine Lane, Ajax Northeast, Ajax",869900,Att/Row/Twnhouse,4,1,5,2000-2500,3-Storey,2024-01-18,15,ajax,durham region,"3 graywardine lane, ajax","(43.88530911593014, -79.0223461757518)"
https://www.zolo.ca/ajax-real-estate/67-georgina-drive,"67 Georgina Drive, Ajax Central, West",999800,Detached,3,2,2,,Bungalow,2024-01-17,0,ajax,durham region,"67 georgina drive, ajax","(43.85030100767048, -79.04985901855392)"
https://www.zolo.ca/ajax-real-estate/508-littlewood-lane,"508 Littlewood Lane, Ajax South, East",699990,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,2024-01-17,0,ajax,durham region,"508 littlewood lane, ajax","(43.848647593450096, -79.00812543882435)"
https://www.zolo.ca/ajax-real-estate/30-willows-lane/98,"98 - 30 Willows Lane, Ajax Central, West",699800,Condo Townhouse,3,,2,1000-1199,2-Storey,2024-01-16,0,ajax,durham region,"30 willows lane/98, ajax","(43.85133839391699, -79.05651458495134)"
https://www.zolo.ca/ajax-real-estate/51-atherton-avenue,"51 Atherton Avenue, Ajax Northwest, Ajax",1139990,Detached,3,,4,,2-Storey,2024-01-16,0,ajax,durham region,"51 atherton avenue, ajax","(43.88518531522024, -79.05130372338523)"
https://www.zolo.ca/ajax-real-estate/15-parker-crescent/35,"35 - 15 Parker Crescent, Ajax South, East",549900,Condo Townhouse,3,2,3,1000-1199,2-Storey,2024-01-16,0,ajax,durham region,"15 parker crescent/35, ajax","(43.83046209059211, -79.0134498751785)"
https://www.zolo.ca/ajax-real-estate/23-coppini-lane,"23 Coppini Lane, Ajax South, East",948800,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,2024-01-15,0,ajax,durham region,"23 coppini lane, ajax","(43.84734039374038, -79.006965718701)"
https://www.zolo.ca/ajax-real-estate/38-howes-street,"38 Howes Street, Ajax Central, West",1339000,Detached,4,,4,2500-3000,2-Storey,2024-01-15,0,ajax,durham region,"38 howes street, ajax","(43.87043899105416, -79.05468800061135)"
https://www.zolo.ca/ajax-real-estate/6-gurr-crescent,"6Gurr Crescent, Ajax Central, West",,Detached,3,,4,,2-Storey,2024-01-15,0,ajax,durham region,"6 gurr crescent, ajax","(43.87353099131656, -79.04423995830317)"
https://www.zolo.ca/ajax-real-estate/27-devineridge-avenue,"27 Devineridge Avenue, Ajax Central, East",1149000,Detached,4,,4,2000-2500,3-Storey,2024-01-12,5,ajax,durham region,"27 devineridge avenue, ajax","(43.87918341154196, -79.00167397176925)"
https://www.zolo.ca/ajax-real-estate/65-silverwood-circle,"65 Silverwood Circle, Ajax Central, East",899000,Att/Row/Twnhouse,3,,3,2000-2500,2-Storey,2024-01-11,15,ajax,durham region,"65 silverwood circle, ajax","(43.87467281607664, -78.99965829169362)"
https://www.zolo.ca/ajax-real-estate/882-audley-road-north,"882Audley Road NAjax Northeast, Ajax",,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,2024-01-11,15,ajax,durham region,"882 audley road north, ajax","(43.881558214259115, -79.00231099641059)"
https://www.zolo.ca/ajax-real-estate/18-charlton-crescent,"18 Charlton Crescent, Ajax South, West",989000,Detached,4,1,4,,2-Storey,2024-01-11,0,ajax,durham region,"18 charlton crescent, ajax","(43.83285399239176, -79.01884295931963)"
https://www.zolo.ca/ajax-real-estate/2260-church-street-north,"2260 Church Street NAjax Northwest, Ajax",3275000,Vacant Land,,,0,,,2024-01-10,0,ajax,durham region,"2260 church street north, ajax","(43.90299440757651, -79.07615763426695)"
https://www.zolo.ca/ajax-real-estate/484-salem-road-east/10,"10 - 484 Salem Road EAjax, Central",850000,Att/Row/Twnhouse,3,,3,,3-Storey,2024-01-09,0,ajax,durham region,"484 salem road east/10, ajax","(43.84763371844201, -79.00666723912892)"
https://www.zolo.ca/ajax-real-estate/83-sherwood-road-east,"83 Sherwood Road EAjax Central, West",1950000,Detached,4,3,4,2000-2500,Bungalow,2024-01-08,0,ajax,durham region,"83 sherwood road east, ajax","(43.857565016419414, -79.04661999970983)"
https://www.zolo.ca/ajax-real-estate/11-barnfield-crescent,"11 Barnfield Crescent, Ajax Central, East",1475000,Detached,5,,4,3000-3500,2-Storey,2024-01-08,0,ajax,durham region,"11 barnfield crescent, ajax","(43.877016982937704, -79.0022199689421)"
