HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,Age,Community,DatePosted
https://www.zolo.ca/ajax-real-estate/57-welsh-street,"57 Welsh Street, Ajax Central, West",1299000,Detached,4,1,4,,2-Storey,,,2024-02-01
https://www.zolo.ca/ajax-real-estate/95-hills-road,"95 Hills Road, Ajax South, East",1099999,Detached,3,1,3,,Bungalow,,,2024-02-01
https://www.zolo.ca/ajax-real-estate/146-kingston-road-west,"146 Kingston Road WAjax, Central",679999,Condo Townhouse,2,,2,900-999,Stacked Townhse,,,2024-01-31
https://www.zolo.ca/ajax-real-estate/19-farrow-crescent,"19 Farrow Crescent, Ajax South, West",1224898,Detached,4,,4,,2-Storey,,,2024-01-31
https://www.zolo.ca/ajax-real-estate/7-ginno-lane,"7 Ginno Lane, Ajax South, East",699900,Att/Row/Twnhouse,3,,3,,3-Storey,New,,2024-01-31
https://www.zolo.ca/ajax-real-estate/69-dakin-drive,"69 Dakin Drive, Ajax Central, West",1000000,Detached,3,1,3,,2-Storey,,,2024-01-30
https://www.zolo.ca/ajax-real-estate/27-brocklesby-crescent,"27 Brocklesby Crescent, Ajax Central, West",799900,Detached,3,,3,,2-Storey,,,2024-01-30
https://www.zolo.ca/ajax-real-estate/58-rushworth-drive-west,"58Rushworth Drive WAjax Northeast, Ajax",,Detached,4,1,4,,2-Storey,6-15,,2024-01-30
https://www.zolo.ca/ajax-real-estate/109-burcher-road,"109 Burcher Road, Ajax South, East",979000,Semi-Detached,4,1,4,2500-3000,3-Storey,,,2024-01-30
https://www.zolo.ca/ajax-real-estate/2-westney-road-north/1009,"1009 - 2 Westney Road NAjax Central, West",599800,Condo Apt,3,0,2,1000-1199,Apartment,,,2024-01-29
https://www.zolo.ca/ajax-real-estate/2-gidley-lane,"2 Gidley Lane, Ajax, Central",865000,Condo Townhouse,2,,2,1600-1799,Bungalow,,,2024-01-29
https://www.zolo.ca/ajax-real-estate/515-ruthel-road,"515 Ruthel Road, Ajax South, East",1169000,Vacant Land,0,,0,1500-2000,,,,2024-01-28
https://www.zolo.ca/ajax-real-estate/515-ruthel-road,"515 Ruthel Road, Ajax South, East",1169000,Vacant Land,0,,0,1500-2000,,,,2024-01-28
https://www.zolo.ca/ajax-real-estate/191-lake-driveway--west/212,"212 - 191 Lake Driveway WAjax South, West",564000,Condo Apt,2,,2,900-999,Apartment,,,2024-01-26
https://www.zolo.ca/ajax-real-estate/348-delaney-drive,"348 Delaney Drive, Ajax Central, West",,Att/Row/Twnhouse,3,,3,1100-1500,2-Storey,16-30,,2024-01-26
https://www.zolo.ca/ajax-real-estate/15-coppini-lane,"15 Coppini Lane, Ajax South, East",829000,Att/Row/Twnhouse,3,,2,1100-1500,3-Storey,New,,2024-01-26
https://www.zolo.ca/ajax-real-estate/39-hesketh-road,"39 Hesketh Road, Ajax Central, East",779500,Att/Row/Twnhouse,3,,2,,3-Storey,6-15,,2024-01-26
https://www.zolo.ca/ajax-real-estate/16-carrick-avenue,"16 Carrick Avenue, Ajax Central, West",979999,Detached,4,,4,,2-Storey,,,2024-01-26
https://www.zolo.ca/ajax-real-estate/98-harty-crescent,"98 Harty Crescent, Ajax Northwest, Ajax",1050000,Detached,3,,3,,2-Storey,,,2024-01-25
https://www.zolo.ca/ajax-real-estate/195-lake-driveway--west/402,"402 - 195 Lake Driveway WAjax South, West",499900,Condo Apt,1,,1,700-799,Apartment,,,2024-01-25
https://www.zolo.ca/ajax-real-estate/71-hewitt-crescent,"71Hewitt Crescent, Ajax South, East",,Detached,4,1,4,,2-Storey,31-50,,2024-01-25
https://www.zolo.ca/ajax-real-estate/114-workmens-circle,"114 Workmen's Circle, Ajax Northwest, Ajax",899980,Att/Row/Twnhouse,3,,3,1500-2000,2-Storey,0-5,,2024-01-25
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/4,"4 - 520 Rossland Road WAjax Central, West",2550000,Detached,5,2,5,3500-5000,2-Storey,New,,2024-01-24
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/6,"6 - 520 Rossland Road WAjax Central, West",2550000,Detached,3,1,5,3000-3500,Bungalow-Raised,New,,2024-01-24
https://www.zolo.ca/ajax-real-estate/86-church-street-south,"86 Church Street SAjax Central, West",1399900,Fourplex,6,4,5,2500-3000,2-Storey,100+,,2024-01-24
https://www.zolo.ca/ajax-real-estate/57-willows-lane,"57 Willows Lane, Ajax Central, West",759000,Condo Townhouse,3,,2,1200-1399,2-Storey,,,2024-01-24
https://www.zolo.ca/ajax-real-estate/12-hobson-avenue,"12 Hobson Avenue, Ajax Central, West",699000,Detached,3,,2,,2-Storey,,,2024-01-24
https://www.zolo.ca/ajax-real-estate/32-lovegrove-lane,"32 Lovegrove Lane, Ajax, Central",629000,Condo Townhouse,2,,2,1000-1199,Stacked Townhse,,,2024-01-23
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/3,"3 - 520 Rossland Road WAjax Central, West",2350000,Detached,2,1,4,3000-3500,Bungalow-Raised,New,,2024-01-23
https://www.zolo.ca/ajax-real-estate/520-rossland-road-west/2,"2 - 520 Rossland Road WAjax Central, West",2400000,Detached,2,1,4,3000-3500,Bungalow-Raised,New,,2024-01-23
https://www.zolo.ca/ajax-real-estate/82-wright-crescent,"82 Wright Crescent, Ajax, Central",699000,Att/Row/Twnhouse,3,,2,,2-Storey,,,2024-01-23
https://www.zolo.ca/ajax-real-estate/142-hurst-drive,"142 Hurst Drive, Ajax Northwest, Ajax",1099000,Detached,4,,3,2000-2500,2-Storey,0-5,,2024-01-22
https://www.zolo.ca/ajax-real-estate/86-bryant-road,"86 Bryant Road, Ajax South, East",940000,Detached,4,,2,1500-2000,Sidesplit 4,31-50,,2024-01-22
https://www.zolo.ca/ajax-real-estate/55-beadle-drive,"55 Beadle Drive, Ajax South, East",849990,Att/Row/Twnhouse,3,1,3,2000-2500,2-Storey,,,2024-01-22
https://www.zolo.ca/ajax-real-estate/29-hopkinson-crescent,"29 Hopkinson Crescent, Ajax Northwest, Ajax",999000,Detached,4,1,3,2500-3000,2-Storey,,,2024-01-22
https://www.zolo.ca/ajax-real-estate/29-dunwell-crescent,"29 Dunwell Crescent, Ajax Northeast, Ajax",1399000,Detached,4,1,5,,2 1/2 Storey,,,2024-01-19
https://www.zolo.ca/ajax-real-estate/59-clover-ridge-drive-west/99,"99 - 59 Clover Ridge Drive WAjax South, West",799000,Condo Townhouse,3,1,3,1200-1399,2-Storey,31-50,,2024-01-19
https://www.zolo.ca/ajax-real-estate/2-westney-road-north/1204,"1204 - 2 Westney Road NAjax Central, West",699000,Condo Apt,3,,2,1000-1199,Apartment,,,2024-01-18
https://www.zolo.ca/ajax-real-estate/13-reese-avenue,"13 Reese Avenue, Ajax Central, West",1089000,Detached,4,,3,,2-Storey,,,2024-01-18
https://www.zolo.ca/ajax-real-estate/31-parker-crescent/17,"17 - 31 Parker Crescent, Ajax South, East",699000,Condo Townhouse,3,,2,1000-1199,2-Storey,,,2024-01-18
https://www.zolo.ca/ajax-real-estate/23-heatherwood-road,"23 Heatherwood Road, Ajax South, East",988000,Detached,3,1,3,,2-Storey,,,2024-01-18
https://www.zolo.ca/ajax-real-estate/3-graywardine-lane,"3 Graywardine Lane, Ajax Northeast, Ajax",869900,Att/Row/Twnhouse,4,1,5,2000-2500,3-Storey,6-15,,2024-01-18
https://www.zolo.ca/ajax-real-estate/67-georgina-drive,"67 Georgina Drive, Ajax Central, West",999800,Detached,3,2,2,,Bungalow,,,2024-01-17
https://www.zolo.ca/ajax-real-estate/508-littlewood-lane,"508 Littlewood Lane, Ajax South, East",699990,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,New,,2024-01-17
https://www.zolo.ca/ajax-real-estate/30-willows-lane/98,"98 - 30 Willows Lane, Ajax Central, West",699800,Condo Townhouse,3,,2,1000-1199,2-Storey,,,2024-01-16
https://www.zolo.ca/ajax-real-estate/51-atherton-avenue,"51 Atherton Avenue, Ajax Northwest, Ajax",1139990,Detached,3,,4,,2-Storey,,,2024-01-16
https://www.zolo.ca/ajax-real-estate/15-parker-crescent/35,"35 - 15 Parker Crescent, Ajax South, East",549900,Condo Townhouse,3,2,3,1000-1199,2-Storey,,,2024-01-16
https://www.zolo.ca/ajax-real-estate/23-coppini-lane,"23 Coppini Lane, Ajax South, East",948800,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,New,,2024-01-15
https://www.zolo.ca/ajax-real-estate/38-howes-street,"38 Howes Street, Ajax Central, West",1339000,Detached,4,,4,2500-3000,2-Storey,,,2024-01-15
https://www.zolo.ca/ajax-real-estate/6-gurr-crescent,"6Gurr Crescent, Ajax Central, West",,Detached,3,,4,,2-Storey,,,2024-01-15
https://www.zolo.ca/ajax-real-estate/27-devineridge-avenue,"27 Devineridge Avenue, Ajax Central, East",1149000,Detached,4,,4,2000-2500,3-Storey,0-5,,2024-01-12
https://www.zolo.ca/ajax-real-estate/65-silverwood-circle,"65 Silverwood Circle, Ajax Central, East",899000,Att/Row/Twnhouse,3,,3,2000-2500,2-Storey,6-15,,2024-01-11
https://www.zolo.ca/ajax-real-estate/882-audley-road-north,"882Audley Road NAjax Northeast, Ajax",,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,6-15,,2024-01-11
https://www.zolo.ca/ajax-real-estate/18-charlton-crescent,"18 Charlton Crescent, Ajax South, West",989000,Detached,4,1,4,,2-Storey,,,2024-01-11
https://www.zolo.ca/ajax-real-estate/2260-church-street-north,"2260 Church Street NAjax Northwest, Ajax",3275000,Vacant Land,,,0,,,,,2024-01-10
https://www.zolo.ca/ajax-real-estate/484-salem-road-east/10,"10 - 484 Salem Road EAjax, Central",850000,Att/Row/Twnhouse,3,,3,,3-Storey,,,2024-01-09
https://www.zolo.ca/ajax-real-estate/83-sherwood-road-east,"83 Sherwood Road EAjax Central, West",1950000,Detached,4,3,4,2000-2500,Bungalow,,,2024-01-08
https://www.zolo.ca/ajax-real-estate/11-barnfield-crescent,"11 Barnfield Crescent, Ajax Central, East",1475000,Detached,5,,4,3000-3500,2-Storey,,,2024-01-08
https://www.zolo.ca/ajax-real-estate/498-salem-road-south/03,"03 - 498 Salem Road SAjax South, East",735000,Condo Townhouse,2,1,4,1400-1599,3-Storey,New,,2024-01-08
https://www.zolo.ca/ajax-real-estate/13-devineridge-avenue,"13 Devineridge Avenue, Ajax Central, East",999999,Detached,3,,3,1500-2000,3-Storey,0-5,,2024-01-05
https://www.zolo.ca/ajax-real-estate/13-ingold-lane/23,"23 - 13 Ingold Lane, Ajax, Central",799999,Condo Townhouse,3,1,3,1400-1599,2-Storey,,,2024-01-05
https://www.zolo.ca/ajax-real-estate/425-porte-road,"425 Porte Road, Ajax South, East",899900,Semi-Detached,3,,3,1500-2000,2-Storey,6-15,,2024-01-03
https://www.zolo.ca/ajax-real-estate/50-buggey-lane,"50 Buggey Lane, Ajax Northeast, Ajax",3199000,Detached,4,1,6,,2-Storey,,,2024-01-02
https://www.zolo.ca/ajax-real-estate/518-danks-ridge-drive,"518 Danks Ridge Drive, Ajax Central, East",973000,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,New,,2024-01-02
https://www.zolo.ca/ajax-real-estate/1-vassello-lane,"1 Vassello Lane, Ajax South, East",785000,Att/Row/Twnhouse,2,1,4,1500-2000,3-Storey,New,,2023-12-30
https://www.zolo.ca/ajax-real-estate/500-salem-road-south,"500 Salem Road SAjax South, East",769900,Att/Row/Twnhouse,2,1,4,,3-Storey,New,,2023-12-30
https://www.zolo.ca/ajax-real-estate/237-monarch-avenue,"237 Monarch Avenue, Ajax South, West",739900,Att/Row/Twnhouse,3,,3,,3-Storey,,,2023-12-29
https://www.zolo.ca/ajax-real-estate/899-finley-avenue,"899 Finley Avenue, Ajax South, West",1130000,Detached,3,,3,1500-2000,2-Storey,31-50,,2023-12-22
https://www.zolo.ca/ajax-real-estate/167-hunt-street/111,"111 - 167 Hunt Street, Ajax South, West",879999,Att/Row/Twnhouse,3,,4,1500-2000,3-Storey,New,,2023-12-20
https://www.zolo.ca/ajax-real-estate/83-admiral-road,"83 Admiral Road, Ajax South, East",799000,Detached,3,2,3,,Bungalow,,,2023-12-20
https://www.zolo.ca/ajax-real-estate/534-danks-rdg-drive,"534 Danks Rdg Drive, Ajax South, East",999999,Att/Row/Twnhouse,4,,4,2000-2500,3-Storey,New,,2023-12-20
https://www.zolo.ca/ajax-real-estate/85-douet-lane,"85 Douet Lane, Ajax South, East",1075000,Att/Row/Twnhouse,3,1,3,1500-2000,3-Storey,0-5,,2023-12-20
https://www.zolo.ca/ajax-real-estate/528-poplar-avenue,"528 Poplar Avenue, Ajax South, East",950000,Vacant Land,,,0,,,,,2023-12-19
https://www.zolo.ca/ajax-real-estate/3-coppini-lane,"3 Coppini Lane, Ajax South, East",827000,Att/Row/Twnhouse,3,,2,1500-2000,3-Storey,New,,2023-12-12
https://www.zolo.ca/ajax-real-estate/147-admiral-road,"147 Admiral Road, Ajax South, East",800000,Detached,2,2,2,,1 1/2 Storey,51-99,,2023-12-08
https://www.zolo.ca/ajax-real-estate/64-reed-drive,"64 Reed Drive, Ajax, Central",1110000,Detached,4,1,3,,2-Storey,,,2023-12-02
https://www.zolo.ca/ajax-real-estate/87-rotherglen-road-north,"87 Rotherglen Road NAjax Central, West",999000,Detached,4,,3,,2-Storey,31-50,,2023-12-01
https://www.zolo.ca/ajax-real-estate/2-westney-road-north/611,"611 - 2 Westney Road NAjax Central, West",649900,Condo Apt,2,,2,900-999,Apartment,31-50,,2023-12-01
https://www.zolo.ca/ajax-real-estate/6-duckfield-crescent,"6 Duckfield Crescent, Ajax South, East",1399000,Detached,4,,4,2500-3000,2-Storey,,,2023-12-01
https://www.zolo.ca/ajax-real-estate/19-york-street,"19 York Street, Ajax, Central",749000,Detached,3,,2,,1 1/2 Storey,,,2023-11-30
https://www.zolo.ca/ajax-real-estate/55-medley-lane/69,"69 - 55 Medley Lane, Ajax South, West",819000,Detached,3,,1,,2-Storey,,,2023-11-29
https://www.zolo.ca/ajax-real-estate/82-tams-drive,"82 Tams Drive, Ajax Central, East",840000,Semi-Detached,3,,2,,2-Storey,,,2023-11-29
https://www.zolo.ca/ajax-real-estate/62-batt-crescent,"62 Batt Crescent, Ajax Northwest, Ajax",1125000,Detached,3,2,4,2000-2500,2-Storey,16-30,,2023-11-27
https://www.zolo.ca/ajax-real-estate/22-tams-drive,"22 Tams Drive, Ajax Central, East",899000,Detached,3,,2,,2-Storey,,,2023-11-25
https://www.zolo.ca/ajax-real-estate/68-abela-lane,"68 Abela Lane, Ajax, Central",585000,Condo Townhouse,2,,1,800-899,Bungalow,6-10,,2023-11-22
https://www.zolo.ca/ajax-real-estate/2928-beachview-street,"2928Beachview Street, Ajax South, East",,Detached,3,2,2,,Bungalow,,,2023-11-17
https://www.zolo.ca/ajax-real-estate/9-willows-lane/122,"122 - 9 Willows Lane, Ajax, Central",688000,Condo Townhouse,3,,2,1000-1199,2-Storey,31-50,,2023-11-16
https://www.zolo.ca/ajax-real-estate/53-georgina-drive,"53 Georgina Drive, Ajax Central, West",1380000,Detached,4,1,4,2000-2500,2-Storey,,,2023-11-15
https://www.zolo.ca/ajax-real-estate/19-coppini-lane,"19 Coppini Lane, Ajax South, East",958985,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,,,2023-11-14
https://www.zolo.ca/ajax-real-estate/23-burnsborough-street,"23 Burnsborough Street, Ajax South, West",829000,Att/Row/Twnhouse,3,1,3,1500-2000,3-Storey,,,2023-11-07
https://www.zolo.ca/ajax-real-estate/62-swanston-crescent,"62 Swanston Crescent, Ajax South, West",1099999,Detached,3,,2,,2-Storey,,,2023-11-04
https://www.zolo.ca/ajax-real-estate/11-coppini-lane,"11 Coppini Lane, Ajax South, East",950000,Att/Row/Twnhouse,3,,3,1500-2000,2-Storey,New,,2023-11-01
